epoch,mean_R,mean_R_train,overall_max_R,max_R,best_prog_complexity,mean_complexity,loss,n_physical,n_rewarded,best_prog_of_epoch,overall_best_prog
0,0.2572388460611158,0.5005843390341751,0.7788516804654172,0.7788516804654172,30.0,28.5126,0.041369159388119046,7624,7624,cos((((((log(((exp((((phi)**(-1))*(t*f))))**(-1)))*1)+phi)*1)-1)-phi)),cos((((((log(((exp((((phi)**(-1))*(t*f))))**(-1)))*1)+phi)*1)-1)-phi))
1,0.2581351589255552,0.5032139827253891,0.9867328248637336,0.9867328248637336,27.0,28.5107,0.10991024036566328,7682,7682,cos(((1/((((((exp((phi-(phi/1))))**(2))*t))**(-1))/f))+1)),cos(((1/((((((exp((phi-(phi/1))))**(2))*t))**(-1))/f))+1))
2,0.2548532831827651,0.5015690790106222,0.9867328248637336,0.9867328248637336,14.0,28.6267,0.059018894739493094,7595,7595,cos(((t/(1/f))+((1)**(-1)))),cos(((1/((((((exp((phi-(phi/1))))**(2))*t))**(-1))/f))+1))
3,0.24828330940933765,0.5054669648478325,0.9867328248637336,0.9867328248637336,8.0,28.6851,0.17201558482572968,7480,7480,cos((1+(t*f))),cos(((1/((((((exp((phi-(phi/1))))**(2))*t))**(-1))/f))+1))
4,0.24623798452624593,0.5066778705933142,1.0,1.0,23.0,28.6011,0.22100949579027507,7432,7432,cos(((f*t)+(((log(1)/log(phi))+phi)*1))),cos(((f*t)+(((log(1)/log(phi))+phi)*1)))
5,0.24253412492517779,0.5045223525367905,1.0,0.9867328248637336,14.0,28.4172,0.1447993785604923,7380,7380,cos((1+(t/(((f)**(-1))/1)))),cos(((f*t)+(((log(1)/log(phi))+phi)*1)))
6,0.2442185646231294,0.5085957557712739,1.0,0.9869113597396701,12.0,28.0248,0.2746727152708447,7457,7457,cos((((phi)**(2))+((1*t)*f))),cos(((f*t)+(((log(1)/log(phi))+phi)*1)))
7,0.23905437709499283,0.5063525710232376,1.0,1.0,8.0,27.8012,0.1984575813080771,7353,7353,cos(((t*f)+phi)),cos(((f*t)+(((log(1)/log(phi))+phi)*1)))
8,0.2348493983117241,0.5080611172536372,1.0,0.9867328248637338,15.0,27.4598,0.2535487732473183,7357,7357,cos((t*(f*((f+((t)**(-1)))/f)))),cos(((f*t)+(((log(1)/log(phi))+phi)*1)))
9,0.23385772883463565,0.5157725199941752,1.0,1.0,17.0,26.6992,0.4655809733082745,7353,7353,cos((phi+(t*((((1*1))**(-1))/((f)**(-1)))))),cos(((f*t)+(((log(1)/log(phi))+phi)*1)))
10,0.22855393029582752,0.514388484558177,1.0,1.0,10.0,25.9927,0.3986463464369653,7280,7280,cos(((t*f)+(phi*1))),cos(((f*t)+(((log(1)/log(phi))+phi)*1)))
11,0.22624065384625427,0.523555788661167,1.0,0.9999999999999996,17.0,25.2197,0.6078137863452124,7306,7306,cos(((phi+(f*t))*(1/(t*((t)**(-1)))))),cos(((f*t)+(((log(1)/log(phi))+phi)*1)))
12,0.23356054516553212,0.5327086961915898,1.0,1.0,27.0,23.9474,0.8290773358551355,7482,7482,cos(((((((((((((1*t)/t))**(-1)))**(0.5))/f))**(-1))*t)/1)+phi)),cos(((f*t)+(((log(1)/log(phi))+phi)*1)))
13,0.23599505437421958,0.5377625681989381,1.0,1.0,14.0,22.7075,0.820585331681641,7641,7641,(cos(((phi*(1*1))+(t*f)))*1),cos(((f*t)+(((log(1)/log(phi))+phi)*1)))
14,0.24699204274058184,0.5493462266436338,1.0,1.0,14.0,20.9787,1.0278704968354175,7909,7909,cos((((t*(f+f))-(f*t))+phi)),cos(((f*t)+(((log(1)/log(phi))+phi)*1)))
