complexity,length,reward,rmse,expression,expression_prefix,alpha0,f,phi
4,4,0.500143969281243,0.1998556858680426,(-(f)*t),[mul neg f t],0.1,-0.00014971115753258798,1.0
5,5,0.506685705642049,0.19469359128822455,-(exp((alpha0*t))),[neg exp mul alpha0 t],-0.5647439368953049,1.0,1.0
6,6,0.5961831558819012,0.135447607253412,(cos((f*t))/phi),[div cos mul f t phi],0.1,-0.849213320913593,4.842182554412387
7,7,0.600498139610054,0.1330373999224265,(phi*sin((-(alpha0)*t))),[mul phi sin mul neg alpha0 t],0.7438457574482692,1.0,0.2160413928683516
8,8,0.6611073293246122,0.10250777642964243,((cos((f*t))/t)/alpha0),[div div cos mul f t t alpha0],0.43368775878136995,0.8673067967163881,1.0
9,9,0.7432406369044705,0.06908176922334007,(sin((t*f))/(t*-(alpha0))),[div sin mul t f mul t neg alpha0],0.32224813280282083,0.7328008025867268,1.0
10,10,0.8548670769428993,0.03394954509058872,((sin(((f*t)-phi))/alpha0)/t),[div div sin sub mul f t phi alpha0 t],0.32691078847523986,0.7767663472839613,-2.6627337970045213
12,12,0.8548670769441556,0.033949545090244955,((cos(((f*t)+phi))/t)/(alpha0*phi)),[div div cos add mul f t phi t mul alpha0 phi],0.29938591966574046,0.776766312447983,1.0919372329166315
13,13,0.854867076944972,0.03394954509002157,((sin(((-((t*f))-phi)-1))/alpha0)/t),[div div sin sub sub neg mul t f phi 1 alpha0 t],0.3269105372134439,0.7767661334259623,4.804327873458743
14,14,0.9999898426607474,2.0311920028472283e-06,(sin(((phi--(phi))+(f*t)))/exp((alpha0*t))),[div sin add sub phi neg phi mul f t exp mul alpha0 t],0.10111262749206948,0.7839983370223297,1.2839064318243298
